编号,应用名称,页面链接,版本,下载链接,文件大小,应用类型,开发者,更新时间,可执行文件
98,360安全浏览器,http://app.loongapps.cn/#/detail/98,13.3.1017.20-1,http://app.loongapps.cn:8090/upload/file/browser360-cn-stable_13.3.1017.20-1_loongarch64.deb,125.7 MB,网络应用,奇虎360,2024-12-18T08:15:33,/usr/bin/browser360-cn-stable
113,冠群文档,http://app.loongapps.cn/#/detail/113,1.0.2108.20,http://113.24.212.22:8090/upload/file/greader_1.0.2108.20_loongnix_loongarch64.deb,68.7 MB,"教育学习,办公应用",北京冠群信息技术股份有限公司,2021-12-29T12:06:26,/opt/cssca/greader/greader %F
141,MD编辑器,http://app.loongapps.cn/#/detail/141,7.0.4-1.lnd.edu2.1,http://113.24.212.22:8090/upload/file/retext_7.0.4-1.lnd.edu2.1_all.deb,115.3 KB,"办公应用,教育学习",Dmitry Shachnev,2022-10-13T10:00:00,/usr/share/retext/retext.py
143,海龟编程,http://app.loongapps.cn/#/detail/143,4:18.04.1-1.1,http://app.loongapps.cn:8090/upload/file/kturtle_43a18.04.1-1.1_loongarch64.deb,1.9 MB,"编程开发,教育学习",Cies Breijs,2025-02-17T03:22:55,kturtle -qwindowtitle
176,Guee录屏机,http://app.loongapps.cn/#/detail/176,1.1.0-0,http://113.24.212.22:8090/upload/file/net.guee.recorder-1.1.0-0.loongarch64.deb,374.5 KB,"办公应用,教育学习",Guee,2022-11-10T16:47:28,/opt/apps/net.guee.recorder/files/GueeRecorder
222,龙芯应用合作社(3A5000)版,http://app.loongapps.cn/#/detail/222,2.0.0-1.lnd.16,http://app.loongapps.cn:8090/upload/file/loongsonapplication_2.0.0-1.lnd.16_loongarch64.deb,88.1MB,"其他应用,办公应用",龙芯中科（山西）技术有限公司,2024-11-21T16:33:21,
1053,腾讯会议,http://app.loongapps.cn/#/detail/1053,3.19.2.400,http://app.loongapps.cn:8090/upload/file/TencentMeeting_0300000000_3.19.2.400_loongarch64_default.publish.officialwebsite.deb,135.9 MB,办公应用,深圳市腾讯计算机系统有限公司,2024-12-18T08:49:39,/opt/wemeet/wemeetapp.sh
1086,微信,http://app.loongapps.cn/#/detail/1086,4.0.0.30,http://app.loongapps.cn:8090/upload/file/wechat_4.0.0.30_loongarch64.deb,215.5 MB,社交沟通,深圳市腾讯计算机系统有限公司,2024-11-08T10:57:29,/usr/bin/wechat
1104,WPS Office,http://app.loongapps.cn/#/detail/1104,12.8.2.18605.AK.preload.sw,http://app.loongapps.cn:8090/upload/file/wps-office_12.8.2.18605.AK.preload.sw_loongarch64.deb,792.8 MB,办公应用,北京金山办公软件股份有限公司,2024-11-06T17:07:40,/usr/bin/wps
1106,企业微信,http://app.loongapps.cn/#/detail/1106,3.0.62000,http://app.loongapps.cn:8090/upload/file/weworklocal_3.0.62000.130N07.loongarch.deb,304.2MB,"社交沟通,办公应用",深圳市腾讯计算机系统有限公司,2024-08-06T14:23:13,"""/opt/企业微信/wwlocal"" %U"
1168,钉钉,http://app.loongapps.cn/#/detail/1168,7.6.25.4112601,http://app.loongapps.cn:8090/upload/file/com.alibabainc.dingtalk_7.6.25.4112601_loongarch64.deb,344.7 MB,"社交沟通,办公应用",阿里巴巴,2024-12-12T11:34:02,/opt/apps/com.alibabainc.dingtalk/files/Elevator.sh
1377,龙芯桌面智推,http://app.loongapps.cn/#/detail/1377,1.0.0-1.lnd.5,http://app.loongapps.cn:8090/upload/file/applicationnews_1.0.0-1.lnd.5_loongarch64.deb,84.7 MB,其他应用,龙芯中科（山西）技术有限公司,2024-09-02T10:54:48,/usr/bin/applicationnews
